DSEX,Date,Open,High,Low,Close,64248935
DSEX,12/04/2013,4310.72,4340.51,4292.13,4294.22,105927440
DSEX,12/05/2013,4294.22,4294.45,4267.13,4277.39,93279873
DSEX,12/08/2013,4277.39,4327.27,4277.39,4302.56,123914786
DSEX,12/09/2013,4302.56,4347.64,4289.82,4289.82,155147409
DSEX,12/10/2013,4289.82,4339.93,4289.82,4329.53,194010125
DSEX,12/11/2013,4329.53,4367.07,4329.53,4333.79,190055631
DSEX,12/12/2013,4333.79,4348.70,4290.70,4299.58,144235570
DSEX,12/15/2013,4299.58,4314.19,4280.72,4280.72,121994937
DSEX,12/17/2013,4280.72,4313.47,4270.58,4270.58,151343881
DSEX,12/18/2013,4270.58,4290.32,4240.12,4240.12,123541935
DSEX,12/19/2013,4240.12,4257.66,4221.14,4244.63,121389323
DSEX,12/22/2013,4244.63,4303.21,4244.63,4288.86,179341707
DSEX,12/23/2013,4288.86,4323.28,4265.24,4265.24,121766501
DSEX,12/24/2013,4265.24,4280.61,4228.90,4228.90,94243809
DSEX,12/26/2013,4228.90,4238.82,4189.05,4200.96,94009175
DSEX,12/29/2013,4200.96,4225.07,4183.33,4209.69,66355387
DSEX,12/30/2013,4209.69,4275.55,4209.69,4266.55,94221217
DSEX,01/01/2014,4266.55,4319.74,4266.55,4286.15,100101844
DSEX,01/02/2014,4286.15,4320.71,4286.15,4314.09,83894862
DSEX,01/06/2014,4314.09,4331.13,4293.24,4296.34,71620720
DSEX,01/07/2014,4296.34,4343.37,4296.34,4330.63,100215667
DSEX,01/08/2014,4330.63,4391.27,4330.63,4391.27,117786690
DSEX,01/09/2014,4391.27,4428.46,4391.27,4407.82,110326138
DSEX,01/12/2014,4407.82,4464.48,4407.82,4437.81,128263146
DSEX,01/13/2014,4437.81,4464.28,4437.81,4454.83,144501232
DSEX,01/15/2014,4454.83,4504.24,4454.83,4494.02,149143325
DSEX,01/16/2014,4494.02,4535.08,4486.66,4519.35,146733455
DSEX,01/19/2014,4519.35,4583.69,4519.35,4565.40,155963098
DSEX,01/20/2014,4565.40,4580.25,4550.47,4550.47,139692101
DSEX,01/21/2014,4550.47,4602.46,4534.43,4584.62,153243294
DSEX,01/22/2014,4584.62,4652.57,4584.62,4640.55,177874456
DSEX,01/23/2014,4640.55,4713.89,4640.55,4702.66,201005808
DSEX,01/26/2014,4702.66,4768.70,4702.66,4758.37,213921062
